date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:41:51	167218/167218	---MC-	200	added ('OK')	text/html	date:Tue,%2010%20Dec%202024%2007:41:49%20GMT	https://egreetings.gov.in/cards-Ambedkar+Jayanti-23.html	D:/aptech/HK3/E-project/Eproject_sem3_theme/egreetings.gov.in/cards-Ambedkar+Jayanti-23.html	(from )
14:41:51	196/196	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Dec%202024%2007:41:52%20GMT	https://egreetings.gov.in/robots.txt		(from )
14:41:52	35454/35454	---M--	200	added ('OK')	image/png	etag:%228a7e-54d5a8eb25300%22	https://egreetings.gov.in/assets/images/greetings-logo.png	D:/aptech/HK3/E-project/Eproject_sem3_theme/egreetings.gov.in/assets/images/greetings-logo.png	(from https://egreetings.gov.in/cards-Ambedkar+Jayanti-23.html)
14:41:52	3542/3542	---M--	200	added ('OK')	image/png	etag:%22dd6-53f1bb8f0a9c0%22	https://egreetings.gov.in/assets/images/eGreetings_icon.png	D:/aptech/HK3/E-project/Eproject_sem3_theme/egreetings.gov.in/assets/images/eGreetings_icon.png	(from https://egreetings.gov.in/cards-Ambedkar+Jayanti-23.html)
14:41:52	100019/100019	---M--	200	added ('OK')	text/css	etag:%22186b3-5fc57ba1794ef%22	https://egreetings.gov.in/assets/css/bootstrap.min.css	D:/aptech/HK3/E-project/Eproject_sem3_theme/egreetings.gov.in/assets/css/bootstrap.min.css	(from https://egreetings.gov.in/cards-Ambedkar+Jayanti-23.html)
14:41:52	14668/14668	---M--	200	added ('OK')	text/css	etag:%22394c-5cf2797fa7100%22	https://egreetings.gov.in/assets/css/custom.css	D:/aptech/HK3/E-project/Eproject_sem3_theme/egreetings.gov.in/assets/css/custom.css	(from https://egreetings.gov.in/cards-Ambedkar+Jayanti-23.html)
14:41:53	1455/1455	---M--	200	added ('OK')	text/css	etag:%225af-58040b72d12c0%22	https://egreetings.gov.in/assets/css/bs-tags.css	D:/aptech/HK3/E-project/Eproject_sem3_theme/egreetings.gov.in/assets/css/bs-tags.css	(from https://egreetings.gov.in/cards-Ambedkar+Jayanti-23.html)
14:41:53	33013/33013	---M--	200	added ('OK')	text/css	etag:%2280f5-5cedac4f2eb80%22	https://egreetings.gov.in/assets/css/home.css	D:/aptech/HK3/E-project/Eproject_sem3_theme/egreetings.gov.in/assets/css/home.css	(from https://egreetings.gov.in/cards-Ambedkar+Jayanti-23.html)
14:41:53	31564/31564	---M--	200	added ('OK')	text/css	etag:%227b4c-5cf26e3604f80%22	https://egreetings.gov.in/assets/css/style.css	D:/aptech/HK3/E-project/Eproject_sem3_theme/egreetings.gov.in/assets/css/style.css	(from https://egreetings.gov.in/cards-Ambedkar+Jayanti-23.html)
14:41:53	10980/10980	---M--	200	added ('OK')	text/css	etag:%222ae4-5ced9acce9c80%22	https://egreetings.gov.in/assets/css/nav.css	D:/aptech/HK3/E-project/Eproject_sem3_theme/egreetings.gov.in/assets/css/nav.css	(from https://egreetings.gov.in/cards-Ambedkar+Jayanti-23.html)
14:41:53	2842/2842	---M--	200	added ('OK')	text/css	etag:%22b1a-56307f03cf180%22	https://egreetings.gov.in/assets/css/hover-effect.css	D:/aptech/HK3/E-project/Eproject_sem3_theme/egreetings.gov.in/assets/css/hover-effect.css	(from https://egreetings.gov.in/cards-Ambedkar+Jayanti-23.html)
14:41:54	3164/3164	---M--	200	added ('OK')	text/css	etag:%22c5c-56307f02daf40%22	https://egreetings.gov.in/assets/css/slide-show.css	D:/aptech/HK3/E-project/Eproject_sem3_theme/egreetings.gov.in/assets/css/slide-show.css	(from https://egreetings.gov.in/cards-Ambedkar+Jayanti-23.html)
14:41:54	15731/15731	---M-Z	200	added ('OK')	text/css	etag:%225eb03d8e-3d73%22	https://cdnjs.cloudflare.com/ajax/libs/bootstrap-datepicker/1.9.0/css/bootstrap-datepicker.min.css	D:/aptech/HK3/E-project/Eproject_sem3_theme/cdnjs.cloudflare.com/ajax/libs/bootstrap-datepicker/1.9.0/css/bootstrap-datepicker.min.css	(from https://egreetings.gov.in/cards-Ambedkar+Jayanti-23.html)
14:41:54	4173/4173	---M--	200	added ('OK')	text/css	etag:%22104d-56307f03cf180%22	https://egreetings.gov.in/assets/css/dataTables.bootstrap.min.css	D:/aptech/HK3/E-project/Eproject_sem3_theme/egreetings.gov.in/assets/css/dataTables.bootstrap.min.css	(from https://egreetings.gov.in/cards-Ambedkar+Jayanti-23.html)
14:41:55	30507/30507	---M--	200	added ('OK')	text/css	etag:%22772b-5cf2699d2f700%22	https://egreetings.gov.in/assets/css/page.css	D:/aptech/HK3/E-project/Eproject_sem3_theme/egreetings.gov.in/assets/css/page.css	(from https://egreetings.gov.in/cards-Ambedkar+Jayanti-23.html)
14:41:55	37280/37280	---M--	200	added ('OK')	text/css	etag:%2291a0-54e34c16d8780%22	https://egreetings.gov.in/assets/fonts/css/font-awesome.css	D:/aptech/HK3/E-project/Eproject_sem3_theme/egreetings.gov.in/assets/fonts/css/font-awesome.css	(from https://egreetings.gov.in/cards-Ambedkar+Jayanti-23.html)
14:41:55	3808/3808	---M--	200	added ('OK')	text/css	etag:%22ee0-56307f02daf40%22	https://egreetings.gov.in/assets/css/bootstrap-colorpicker.min.css	D:/aptech/HK3/E-project/Eproject_sem3_theme/egreetings.gov.in/assets/css/bootstrap-colorpicker.min.css	(from https://egreetings.gov.in/cards-Ambedkar+Jayanti-23.html)
14:41:55	1721/1721	---M--	200	added ('OK')	text/css	etag:%226b9-56307f02daf40%22	https://egreetings.gov.in/assets/css/winner.css	D:/aptech/HK3/E-project/Eproject_sem3_theme/egreetings.gov.in/assets/css/winner.css	(from https://egreetings.gov.in/cards-Ambedkar+Jayanti-23.html)
14:41:55	5047/5047	---M--	200	added ('OK')	text/css	etag:%2213b7-56307f02daf40%22	https://egreetings.gov.in/assets/css/arch.css	D:/aptech/HK3/E-project/Eproject_sem3_theme/egreetings.gov.in/assets/css/arch.css	(from https://egreetings.gov.in/cards-Ambedkar+Jayanti-23.html)
14:41:56	7199/7199	---M--	200	added ('OK')	text/css	etag:%221c1f-580063aba4bc0%22	https://egreetings.gov.in/assets/css/manage-dataTable.css	D:/aptech/HK3/E-project/Eproject_sem3_theme/egreetings.gov.in/assets/css/manage-dataTable.css	(from https://egreetings.gov.in/cards-Ambedkar+Jayanti-23.html)
14:41:56	6494/6494	---M--	200	added ('OK')	text/javascript	etag:%22195e-5913ae94fb900%22	https://egreetings.gov.in/assets/js/modernizr.custom.29473.js	D:/aptech/HK3/E-project/Eproject_sem3_theme/egreetings.gov.in/assets/js/modernizr.custom.29473.js	(from https://egreetings.gov.in/cards-Ambedkar+Jayanti-23.html)
14:41:56	92949/92949	---M--	200	added ('OK')	text/javascript	etag:%2216b15-5913b6c24c3c0%22	https://egreetings.gov.in/assets/js/jquery_3_7_0.min.js	D:/aptech/HK3/E-project/Eproject_sem3_theme/egreetings.gov.in/assets/js/jquery_3_7_0.min.js	(from https://egreetings.gov.in/cards-Ambedkar+Jayanti-23.html)
14:41:56	49200/49200	---M--	200	added ('OK')	text/javascript	etag:%22c030-56307f02daf40%22	https://egreetings.gov.in/assets/js/jssor.slider-22.2.13.min.js	D:/aptech/HK3/E-project/Eproject_sem3_theme/egreetings.gov.in/assets/js/jssor.slider-22.2.13.min.js	(from https://egreetings.gov.in/cards-Ambedkar+Jayanti-23.html)
14:41:56	13820/13820	---M--	200	added ('OK')	text/javascript	etag:%2235fc-56307f02daf40%22	https://egreetings.gov.in/assets/js/slider.js	D:/aptech/HK3/E-project/Eproject_sem3_theme/egreetings.gov.in/assets/js/slider.js	(from https://egreetings.gov.in/cards-Ambedkar+Jayanti-23.html)
14:41:57	273121/273121	---M--	200	added ('OK')	text/javascript	etag:%2242ae1-5fc5a487a8063%22	https://egreetings.gov.in/assets/js/jquery_3_7_0.js	D:/aptech/HK3/E-project/Eproject_sem3_theme/egreetings.gov.in/assets/js/jquery_3_7_0.js	(from https://egreetings.gov.in/cards-Ambedkar+Jayanti-23.html)
14:41:57	21599/21599	---M--	200	added ('OK')	text/javascript	etag:%22545f-56307f02daf40%22	https://egreetings.gov.in/assets/js/jquery.validate.min.js	D:/aptech/HK3/E-project/Eproject_sem3_theme/egreetings.gov.in/assets/js/jquery.validate.min.js	(from https://egreetings.gov.in/cards-Ambedkar+Jayanti-23.html)
14:41:57	8376/8376	---M--	200	added ('OK')	text/javascript	etag:%2220b8-56307f02daf40%22	https://egreetings.gov.in/assets/js/jquery.accordion.js	D:/aptech/HK3/E-project/Eproject_sem3_theme/egreetings.gov.in/assets/js/jquery.accordion.js	(from https://egreetings.gov.in/cards-Ambedkar+Jayanti-23.html)
14:41:58	6983/6983	---M--	200	added ('OK')	text/javascript	etag:%221b47-56307f02daf40%22	https://egreetings.gov.in/assets/js/bootstrap-typeahead.js	D:/aptech/HK3/E-project/Eproject_sem3_theme/egreetings.gov.in/assets/js/bootstrap-typeahead.js	(from https://egreetings.gov.in/cards-Ambedkar+Jayanti-23.html)
14:41:58	470236/470236	---M--	200	added ('OK')	text/javascript	etag:%2272cdc-5913af4569940%22	https://egreetings.gov.in/assets/js/jquery-ui.js	D:/aptech/HK3/E-project/Eproject_sem3_theme/egreetings.gov.in/assets/js/jquery-ui.js	(from https://egreetings.gov.in/cards-Ambedkar+Jayanti-23.html)
14:41:58	31293/31293	---MC-	200	added ('OK')	text/html	date:Tue,%2010%20Dec%202024%2007:41:59%20GMT	https://egreetings.gov.in/login.html	D:/aptech/HK3/E-project/Eproject_sem3_theme/egreetings.gov.in/login.html	(from https://egreetings.gov.in/cards-Ambedkar+Jayanti-23.html)
14:41:59	56093/56093	---MC-	200	added ('OK')	text/html	date:Tue,%2010%20Dec%202024%2007:42:00%20GMT	https://egreetings.gov.in/	D:/aptech/HK3/E-project/Eproject_sem3_theme/egreetings.gov.in/index.html	(from https://egreetings.gov.in/cards-Ambedkar+Jayanti-23.html)
14:42:00	2515863/2515863	---M--	200	added ('OK')	application/pdf	etag:%22266397-5615f383f1940%22	https://egreetings.gov.in/assets/manuals/eGreetings_User_Manual.pdf	D:/aptech/HK3/E-project/Eproject_sem3_theme/egreetings.gov.in/assets/manuals/eGreetings_User_Manual.pdf	(from https://egreetings.gov.in/cards-Ambedkar+Jayanti-23.html)
14:42:01	147033/147033	---MC-	200	added ('OK')	text/html	date:Tue,%2010%20Dec%202024%2007:42:00%20GMT	https://egreetings.gov.in/cards-Fathers+Day-88.html	D:/aptech/HK3/E-project/Eproject_sem3_theme/egreetings.gov.in/cards-Fathers+Day-88.html	(from https://egreetings.gov.in/cards-Ambedkar+Jayanti-23.html)
14:42:05	306705/306705	---MC-	200	added ('OK')	text/html	date:Tue,%2010%20Dec%202024%2007:42:02%20GMT	https://egreetings.gov.in/cards-Gandhi+Jayanti-19.html	D:/aptech/HK3/E-project/Eproject_sem3_theme/egreetings.gov.in/cards-Gandhi+Jayanti-19.html	(from https://egreetings.gov.in/cards-Ambedkar+Jayanti-23.html)
14:42:07	93525/93525	---MC-	200	added ('OK')	text/html	date:Tue,%2010%20Dec%202024%2007:42:06%20GMT	https://egreetings.gov.in/cards-Good+Governance+Day-65.html	D:/aptech/HK3/E-project/Eproject_sem3_theme/egreetings.gov.in/cards-Good+Governance+Day-65.html	(from https://egreetings.gov.in/cards-Ambedkar+Jayanti-23.html)
14:42:12	346450/346450	---MC-	200	added ('OK')	text/html	date:Tue,%2010%20Dec%202024%2007:42:08%20GMT	https://egreetings.gov.in/cards-Independence+day-21.html	D:/aptech/HK3/E-project/Eproject_sem3_theme/egreetings.gov.in/cards-Independence+day-21.html	(from https://egreetings.gov.in/cards-Ambedkar+Jayanti-23.html)
14:42:15	174215/174215	---MC-	200	added ('OK')	text/html	date:Tue,%2010%20Dec%202024%2007:42:13%20GMT	https://egreetings.gov.in/cards-Mothers+Day-86.html	D:/aptech/HK3/E-project/Eproject_sem3_theme/egreetings.gov.in/cards-Mothers+Day-86.html	(from https://egreetings.gov.in/cards-Ambedkar+Jayanti-23.html)
14:42:19	282692/282692	---MC-	200	added ('OK')	text/html	date:Tue,%2010%20Dec%202024%2007:42:16%20GMT	https://egreetings.gov.in/cards-New+Year-12.html	D:/aptech/HK3/E-project/Eproject_sem3_theme/egreetings.gov.in/cards-New+Year-12.html	(from https://egreetings.gov.in/cards-Ambedkar+Jayanti-23.html)
14:42:25	325478/325478	---MC-	200	added ('OK')	text/html	date:Tue,%2010%20Dec%202024%2007:42:20%20GMT	https://egreetings.gov.in/cards-Republic+Day-9.html	D:/aptech/HK3/E-project/Eproject_sem3_theme/egreetings.gov.in/cards-Republic+Day-9.html	(from https://egreetings.gov.in/cards-Ambedkar+Jayanti-23.html)
14:42:29	271883/271883	---MC-	200	added ('OK')	text/html	date:Tue,%2010%20Dec%202024%2007:42:26%20GMT	https://egreetings.gov.in/cards-Teachers+day-61.html	D:/aptech/HK3/E-project/Eproject_sem3_theme/egreetings.gov.in/cards-Teachers+day-61.html	(from https://egreetings.gov.in/cards-Ambedkar+Jayanti-23.html)
14:42:32	212809/212809	---MC-	200	added ('OK')	text/html	date:Tue,%2010%20Dec%202024%2007:42:29%20GMT	https://egreetings.gov.in/cards-Yoga+day-87.html	D:/aptech/HK3/E-project/Eproject_sem3_theme/egreetings.gov.in/cards-Yoga+day-87.html	(from https://egreetings.gov.in/cards-Ambedkar+Jayanti-23.html)
14:42:36	285168/285168	---MC-	200	added ('OK')	text/html	date:Tue,%2010%20Dec%202024%2007:42:33%20GMT	https://egreetings.gov.in/cards-Buddha+Purnima-33.html	D:/aptech/HK3/E-project/Eproject_sem3_theme/egreetings.gov.in/cards-Buddha+Purnima-33.html	(from https://egreetings.gov.in/cards-Ambedkar+Jayanti-23.html)
14:42:41	300851/300851	---MC-	200	added ('OK')	text/html	date:Tue,%2010%20Dec%202024%2007:42:37%20GMT	https://egreetings.gov.in/cards-Christmas-11.html	D:/aptech/HK3/E-project/Eproject_sem3_theme/egreetings.gov.in/cards-Christmas-11.html	(from https://egreetings.gov.in/cards-Ambedkar+Jayanti-23.html)
14:42:48	380539/380539	---MC-	200	added ('OK')	text/html	date:Tue,%2010%20Dec%202024%2007:42:42%20GMT	https://egreetings.gov.in/cards-Diwali-25.html	D:/aptech/HK3/E-project/Eproject_sem3_theme/egreetings.gov.in/cards-Diwali-25.html	(from https://egreetings.gov.in/cards-Ambedkar+Jayanti-23.html)
14:42:49	126162/126162	---MC-	200	added ('OK')	text/html	date:Tue,%2010%20Dec%202024%2007:42:49%20GMT	https://egreetings.gov.in/cards-Durga+Puja-27.html	D:/aptech/HK3/E-project/Eproject_sem3_theme/egreetings.gov.in/cards-Durga+Puja-27.html	(from https://egreetings.gov.in/cards-Ambedkar+Jayanti-23.html)
14:42:53	211058/211058	---MC-	200	added ('OK')	text/html	date:Tue,%2010%20Dec%202024%2007:42:51%20GMT	https://egreetings.gov.in/cards-Dussehra-40.html	D:/aptech/HK3/E-project/Eproject_sem3_theme/egreetings.gov.in/cards-Dussehra-40.html	(from https://egreetings.gov.in/cards-Ambedkar+Jayanti-23.html)
14:42:56	177191/177191	---MC-	200	added ('OK')	text/html	date:Tue,%2010%20Dec%202024%2007:42:54%20GMT	https://egreetings.gov.in/cards-Easter-38.html	D:/aptech/HK3/E-project/Eproject_sem3_theme/egreetings.gov.in/cards-Easter-38.html	(from https://egreetings.gov.in/cards-Ambedkar+Jayanti-23.html)
14:43:00	253915/253915	---MC-	200	added ('OK')	text/html	date:Tue,%2010%20Dec%202024%2007:42:57%20GMT	https://egreetings.gov.in/cards-Eid-24.html	D:/aptech/HK3/E-project/Eproject_sem3_theme/egreetings.gov.in/cards-Eid-24.html	(from https://egreetings.gov.in/cards-Ambedkar+Jayanti-23.html)
